Order_ID,Order_Date,Region,Segment,Product,Category,Quantity,Discount,Sales
ORD0049,2025-06-14,North,Corporate,Headphones,Technology,2,0.1,4500.0
ORD0037,2025-06-14,East,Corporate,Smartphone,Technology,3,0.05,91200.0
ORD0050,2025-06-16,North,Consumer,Headphones,Technology,4,0.0,10000.0
ORD0110,2025-06-17,West,Consumer,Laptop,Technology,1,0.1,58500.0
ORD0111,2025-07-05,West,Corporate,Smartphone,Technology,5,0.05,152000.0
ORD0088,2025-07-05,West,Consumer,Notebook,Office Supplies,4,0.0,1000.0
ORD0024,2025-07-06,West,Corporate,Laptop,Technology,6,0.15,331500.0
ORD0071,2025-07-07,North,Home Office,Office Chair,Furniture,1,0.0,8500.0
ORD0070,2025-07-10,North,Corporate,Backpack,Office Supplies,4,0.15,6120.0
ORD0057,2025-07-14,North,Home Office,Smartphone,Technology,4,0.05,121600.0
ORD0082,2025-07-15,South,Home Office,Laptop,Technology,4,0.15,221000.0
ORD0099,2025-07-20,East,Home Office,Laptop,Technology,4,0.1,234000.0
ORD0073,2025-07-20,East,Home Office,Smartphone,Technology,6,0.15,163200.0
ORD0022,2025-07-21,South,Consumer,Printer,Technology,2,0.15,23800.0
ORD0043,2025-07-28,East,Home Office,Smartphone,Technology,5,0.05,152000.0
ORD0006,2025-07-29,East,Home Office,Smartphone,Technology,5,0.15,136000.0
ORD0007,2025-07-29,North,Home Office,Backpack,Office Supplies,1,0.15,1530.0
ORD0003,2025-08-03,South,Consumer,Desk,Furniture,5,0.1,54000.0
ORD0034,2025-08-08,East,Home Office,Laptop,Technology,6,0.0,390000.0
ORD0086,2025-08-12,East,Consumer,Backpack,Office Supplies,4,0.0,7200.0
ORD0041,2025-08-12,East,Home Office,Printer,Technology,5,0.15,59500.0
ORD0113,2025-08-14,South,Consumer,Printer,Technology,2,0.05,26600.0
ORD0091,2025-08-15,West,Consumer,Printer,Technology,1,0.05,13300.0
ORD0116,2025-08-19,North,Corporate,Headphones,Technology,6,0.1,13500.0
ORD0092,2025-08-21,West,Consumer,Headphones,Technology,6,0.15,12750.0
ORD0033,2025-08-22,South,Consumer,Office Chair,Furniture,6,0.0,51000.0
ORD0023,2025-08-24,North,Consumer,Office Chair,Furniture,2,0.15,14450.0
ORD0109,2025-08-26,North,Consumer,Desk,Furniture,6,0.0,72000.0
ORD0032,2025-08-30,West,Consumer,Desk,Furniture,5,0.05,57000.0
ORD0107,2025-09-08,North,Home Office,Office Chair,Furniture,5,0.15,36125.0
ORD0058,2025-09-14,South,Home Office,Headphones,Technology,5,0.15,10625.0
ORD0102,2025-09-17,South,Consumer,Headphones,Technology,2,0.0,5000.0
ORD0098,2025-09-22,North,Home Office,Desk,Furniture,3,0.15,30600.0
ORD0001,2025-09-25,North,Consumer,Notebook,Office Supplies,3,0.1,675.0
ORD0010,2025-09-27,West,Corporate,Backpack,Office Supplies,1,0.1,1620.0
ORD0005,2025-09-30,West,Corporate,Office Chair,Furniture,3,0.0,25500.0
ORD0078,2025-10-02,West,Corporate,Backpack,Office Supplies,6,0.15,9180.0
ORD0104,2025-10-05,West,Consumer,Printer,Technology,5,0.0,70000.0
ORD0020,2025-10-05,East,Home Office,Smartphone,Technology,5,0.05,152000.0
ORD0004,2025-10-10,East,Home Office,Laptop,Technology,2,0.05,123500.0
ORD0042,2025-10-14,South,Corporate,Headphones,Technology,2,0.1,4500.0
ORD0028,2025-10-22,South,Home Office,Headphones,Technology,4,0.15,8500.0
ORD0025,2025-10-24,North,Corporate,Headphones,Technology,5,0.05,11875.0
ORD0090,2025-10-27,North,Home Office,Backpack,Office Supplies,5,0.05,8550.0
ORD0016,2025-10-30,North,Consumer,Notebook,Office Supplies,2,0.05,475.0
ORD0027,2025-10-30,West,Consumer,Smartphone,Technology,5,0.0,160000.0
ORD0068,2025-11-10,North,Corporate,Smartphone,Technology,6,0.0,192000.0
ORD0069,2025-11-12,West,Consumer,Backpack,Office Supplies,4,0.05,6840.0
ORD0108,2025-11-17,South,Corporate,Notebook,Office Supplies,2,0.05,475.0
ORD0089,2025-11-18,East,Corporate,Backpack,Office Supplies,6,0.1,9720.0
ORD0120,2025-11-21,North,Home Office,Backpack,Office Supplies,3,0.1,4860.0
ORD0014,2025-11-21,North,Corporate,Laptop,Technology,6,0.05,370500.0
ORD0076,2025-11-26,West,Corporate,Desk,Furniture,3,0.1,32400.0
ORD0066,2025-11-27,South,Home Office,Desk,Furniture,5,0.1,54000.0
ORD0119,2025-11-29,West,Home Office,Laptop,Technology,4,0.1,234000.0
ORD0054,2025-11-29,North,Home Office,Printer,Technology,4,0.15,47600.0
ORD0080,2025-12-13,East,Home Office,Backpack,Office Supplies,6,0.0,10800.0
ORD0017,2025-12-13,North,Corporate,Smartphone,Technology,2,0.0,64000.0
ORD0081,2025-12-14,West,Consumer,Office Chair,Furniture,3,0.15,21675.0
ORD0039,2025-12-15,South,Corporate,Notebook,Office Supplies,3,0.05,712.5
ORD0060,2025-12-17,North,Home Office,Notebook,Office Supplies,4,0.15,850.0
ORD0002,2025-12-28,East,Corporate,Desk,Furniture,1,0.0,12000.0
ORD0096,2025-12-30,East,Consumer,Printer,Technology,4,0.0,56000.0
ORD0103,2025-12-31,North,Home Office,Printer,Technology,4,0.15,47600.0
